Tamanho;Cenario;Algoritmo;Dado;Media;DesvioPadrao;Minimo;Maximo;Mediana;CV;IC95_Superior;IC95_Inferior
1000;AltaRepeticao;SelectionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;AltaRepeticao;SelectionSort;TEMPO;6453146.67;94612.02;6349500.00;6713800.00;6434150.00;1.47;6487003.14;6419290.19
1000;AltaRepeticao;SelectionSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;AltaRepeticao;MergeSort;COMPARACOES;8699.67;19.41;8668.00;8736.00;8697.50;0.22;8706.61;8692.72
1000;AltaRepeticao;MergeSort;TROCAS;19952.00;0.00;19952.00;19952.00;19952.00;0.00;19952.00;19952.00
1000;AltaRepeticao;MergeSort;ACESSOS;57303.33;38.83;57240.00;57376.00;57299.00;0.07;57317.23;57289.44
1000;AltaRepeticao;MergeSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;AltaRepeticao;MergeSort;TEMPO;431656.67;23613.61;421400.00;549500.00;423050.00;5.47;440106.69;423206.65
1000;AltaRepeticao;MergeSort;MEM_AUX;4144.00;0.00;4144.00;4144.00;4144.00;0.00;4144.00;4144.00
1000;AltaRepeticao;QuickSort;COMPARACOES;13148.70;770.57;11674.00;14291.00;13137.50;5.86;13424.45;12872.95
1000;AltaRepeticao;QuickSort;TROCAS;4098.37;692.90;3220.00;6252.00;4012.50;16.91;4346.32;3850.42
1000;AltaRepeticao;QuickSort;ACESSOS;30441.43;3301.03;25865.00;40198.00;29931.50;10.84;31622.69;29260.17
1000;AltaRepeticao;QuickSort;PROF_REC;26.50;2.03;23.00;30.00;26.00;7.66;27.23;25.77
